days_ahead,Bull,Sideways,Unknown,Bear,High-Volatility
33,0.033533402416848226,0.36471433946706033,0.578701726356538,0.02082857287201653,0.0022219588875377967
34,0.034843044534205614,0.3672668740159242,0.5739920205861085,0.021533921234374833,0.0023641396293878703
35,0.036146182577303405,0.36962987870864134,0.5694818327673136,0.022232733985116326,0.002509371961626516
36,0.03744187311709865,0.37181477998718987,0.5651610883033819,0.022924762089084023,0.0026574965032467417
37,0.038729252940824924,0.3738323484292139,0.5610202566923439,0.023609786816501385,0.002808355121117011
38,0.04000753424891166,0.37569273590908175,0.557050321431711,0.02428761711890748,0.0029617912913893
39,0.04127600007049989,0.37740551065529593,0.5532427516071408,0.02495808724724159,0.0031176504198230665
40,0.04253399989495739,0.3789796903242434,0.5495894750697022,0.025621054586649664,0.003275780124448558
41,0.04378094551555764,0.3804237732032865,0.5460828531118797,0.026276397685557343,0.0034360304837202185
42,0.04501630708050544,0.38174576764963386,0.5427156565576448,0.02692401445915581,0.0035982542530615656
43,0.04623960934572739,0.3829532198652664,0.5394810431868077,0.027563820549725337,0.003762307052474559
44,0.04745042812326458,0.38405324010240177,0.5363725364184392,0.028195747828218796,0.003928047527677117
45,0.048648386918678295,0.38505252738853474,0.5333840051824691,0.028819743023279054,0.0040953374870403205
46,0.049833153750582566,0.3859573928549731,0.530509644912623,0.029435766465402607,0.004264042016420328
47,0.051004438145228495,0.38677378174797,0.5277439595976726,0.030043790935312814,0.004434029573817719
48,0.052161988298966226,0.387507294197024,0.5250817448315689,0.030643800606795016,0.0046051720656476005
49,0.05330558840138566,0.38816320481065386,0.5225180718064043,0.03123579007529185,0.004777344906266172
50,0.05443505611197296,0.38874648116593924,0.5200482721953378,0.031819763464479296,0.004950427062272581
51,0.055550240183205195,0.3892618012543394,0.5176679238756122,0.03239573360385732,0.005124301082987843
52,0.0566510182231308,0.38971356994274314,0.5153728374446161,0.03296372127110739,0.005298853118404503
53,0.05773729459064006,0.3901059345053489,0.5131590434846077,0.03352375449360439,0.005473972925800888
54,0.058808998416811,0.39044279927881614,0.5110227805342205,0.034075867904032886,0.005649553866121476
55,0.059866081745916136,0.390727839490153,0.5089604837272371,0.034620102145556095,0.005825492891139572
56,0.06090851778988891,0.39096451430400025,0.5069687740613448,0.03515650332242861,0.006001690522339464
57,0.061936299290271786,0.39115607913332767,0.5050444482616832,0.035685122492337275,0.006178050822382116
58,0.06294943698189753,0.39130559725506864,0.5031844692059805,0.03620601519710464,0.006354481359950754
59,0.06394795815278709,0.39141595076986807,0.501385956879935,0.03671924102870187,0.0065308931687099465
60,0.06493190529498118,0.3914898509429058,0.49964617983326487,0.03722486322779649,0.006707200701053699
61,0.06590133484125471,0.39152984796066764,0.4979625471085059,0.037722948312309657,0.006883321777264142
62,0.06685631598289238,0.39153834013656896,0.4963326006162071,0.03821356573368108,0.007059177530652544
63,0.06779692956392933,0.39151758259647684,0.49475400793164825,0.03869678755873975,0.0072346923492079855
64,0.06872326704748119,0.3914696954734265,0.4932245554895994,0.0391726881752589,0.0074097938142361885
65,0.06963542955000218,0.3913966716391758,0.4917421421549578,0.03964134401943537,0.0075844126364311305
66,0.07053352693951834,0.3913003839986817,0.4903047731483373,0.040102833323679844,0.007758482589785183
67,0.07141767699408406,0.3911825923721157,0.48891055430685704,0.04055723588323627,0.007931940443709304
68,0.07228800461690454,0.39104494998764516,0.4875576866614817,0.04100463284026803,0.008104725893703051
69,0.07314464110475304,0.390889009606901,0.48624446131330695,0.04144510648415675,0.008276781490884792
70,0.0739877234664917,0.39071622930381894,0.48496925459216894,0.04187874006685778,0.008448052570665216
71,0.07481739378867633,0.3905279779163745,0.4837305234818844,0.042305617632245426,0.00861848718082197
72,0.07563379864538954,0.39032554018963533,0.4825268012973054,0.04272582385846258,0.008788036009209844
73,0.07643708854960428,0.39011012162751646,0.48135669359919947,0.04313944391236337,0.00895665231131925
74,0.07722741744352896,0.3898828530696464,0.48021887433374666,0.04354656331520522,0.009124291837875628
75,0.0780049422255283,0.38964479500882954,0.47911208218418255,0.04394726781880866,0.009290912762653878
76,0.07876982231134969,0.3893969416637172,0.47803511712281127,0.04434164329146011,0.009456475610664684
77,0.0795222192275138,0.3891402248204801,0.4769868371522706,0.044729775612884805,0.009620943186853696
78,0.08026229623485097,0.3888755174564981,0.4759661552255491,0.04511175057766502,0.009784280505439853
79,0.08099021798028065,0.3886036371583506,0.4749720363348433,0.045487653806522955,0.009946454720005547
80,0.08170615017504226,0.38832534934570145,0.4740034947598928,0.045857570664927835,0.010107435054438774
81,0.08241025929768933,0.3880413703120195,0.4730595914669538,0.04622158618852469,0.010267192734815862
82,0.08310271232025851,0.3877523700924604,0.47213943165006506,0.04657978501491658,0.010425700922302711
83,0.08378367645611827,0.3874589751686553,0.47124216240672295,0.046932251321364166,0.010582934647142626
84,0.0844533189280905,0.38716177101960375,0.47036697054052334,0.04727906876799593,0.010738870743789805
85,0.08511180675552255,0.38686130452735085,0.4695130804837407,0.04762032044615014,0.010893487787239208
86,0.08575930655906544,0.38655808624564025,0.4686797523332073,0.04795608883149464,0.011046766030595886
87,0.0863959843819897,0.3862525925392752,0.4678662799932242,0.04828645574159465,0.011198687343919865
88,0.08702200552693969,0.38594526760148323,0.4670719894195843,0.04861150229762026,0.011349235154376207
89,0.08763753440709489,0.38563652535617154,0.46629623695911726,0.048931308889905996,0.01149839438771401
90,0.0882427344107687,0.3853267512515709,0.4655384077794777,0.04924595514709379,0.01164615141109272
91,0.08883776777853467,0.38501630395140213,0.46479791438418966,0.04955551990860822,0.011792493977269189
92,0.08942279549202622,0.3847055169293536,0.46407419520824006,0.04986008120022955,0.011937411170154505
93,0.08999797717360802,0.3843946999723317,0.4633667132897735,0.05015971621254527,0.012080893351745437
94,0.09056347099616707,0.38408414059764046,0.46267495501368927,0.05045450128207544,0.012222932110431729
95,0.09111943360231824,0.38377410538895507,0.4619984289231735,0.0507445118748801,0.012363520210677076
96,0.09166602003236282,0.38346484125568125,0.4613366645954213,0.051029822572470046,0.012502651544068615
97,0.09220338366038021,0.3831565766200334,0.4606892115780102,0.0513105070598534,0.012640321081726993
98,0.09273167613787144,0.3828495225359205,0.460055638382584,0.051586638115561634,0.01277652482806665
99,0.09325104734441066,0.38254387374350013,0.45943553153269073,0.05185828760350894,0.012911259775893743
100,0.09376164534479431,0.3822398096630412,0.4588284946627936,0.05212552646654801,0.013044523862827185
101,0.09426361635221073,0.38193749533153226,0.4582341476656402,0.0523884247215947,0.0131763159290265
102,0.0947571046969833,0.38163708228527976,0.45765212588533066,0.05264705145620203,0.013306635676208689
103,0.09524225280046884,0.38133870939155634,0.45708207935357253,0.05290147482647192,0.013435483627934914
104,0.09571920115372004,0.38104250363218684,0.4565236720667506,0.053151762056200445,0.013562861091146662
105,0.09618808830054591,0.380748580841799,0.4559765813015707,0.053397979437159016,0.01368877011892997
106,0.09664905082462816,0.3804570464033097,0.4554404969671607,0.05364019233042065,0.013813213474485457
107,0.09710222334037386,0.38016799590307404,0.4549151209916294,0.05387846516864622,0.013936194596281166
108,0.09754773848720537,0.37988151574798856,0.4544001667411951,0.0541128614592512,0.01405771756436454
109,0.09798572692700878,0.3795976837467084,0.4538953584700993,0.05434344378837894,0.014177787067809438
110,0.09841631734448016,0.37931656965701877,0.45340043079962117,0.05457027382561123,0.014296408373273574
111,0.09883963645012651,0.3790382357012851,0.4529151282246002,0.05479341232935156,0.01441358729464158
112,0.09925580898569474,0.3787627370517969,0.4524392046459639,0.05501291915282092,0.014529330163728562
113,0.09966495773181694,0.37849012228772005,0.4519724229278392,0.05522885325060996,0.014643643802018907
114,0.10006720351767495,0.3782204338252729,0.45151455447790706,0.055441272685735135,0.014756535493415074
115,0.10046266523250057,0.3779537083226527,0.45106537884973075,0.055650234637150145,0.014868012957970985
116,0.10085145983874008,0.37768997706115165,0.4506246833658615,0.055855795407667115,0.014978084326584814
117,0.10123370238672434,0.37742926630382023,0.45019226276058943,0.05605801043224531,0.015086758116625933
118,0.10160950603069575,0.37717159763295965,0.44976791884127093,0.05625693428660792,0.015194043208471052
119,0.10197898204605486,0.3769169882676526,0.4493514601672228,0.05645262069615042,0.015299948822924701
120,0.10234223984769839,0.3766654513624726,0.44894270174522866,0.056645122545106286,0.015404484499499473
