days_ahead,max_prob,kl_div,entropy,top_regime,is_useful
72,0.4825268012973054,0.02688090551813307,1.0904280433239715,Unknown,True
73,0.48135669359919947,0.025974791645823,1.0935397611851454,Unknown,True
74,0.48021887433374666,0.025100183357613125,1.0965873051273347,Unknown,True
75,0.47911208218418255,0.024255921783173144,1.0995722359636944,Unknown,True
76,0.47803511712281127,0.023440895758299614,1.1024960660818992,Unknown,True
77,0.4769868371522706,0.022654039401002676,1.1053602616007208,Unknown,True
78,0.4759661552255491,0.021894329852143714,1.1081662443804388,Unknown,True
79,0.4749720363348433,0.021160785166263227,1.1109153939004053,Unknown,True
80,0.4740034947598928,0.020452462339677013,1.1136090490157065,Unknown,True
81,0.4730595914669538,0.019768455464210313,1.1162485096036214,Unknown,False
82,0.47213943165006506,0.019107893996095124,1.1188350381094845,Unknown,False
83,0.47124216240672295,0.018469941130580515,1.1213698610005658,Unknown,False
84,0.47036697054052334,0.01785379227373225,1.1238541701357252,Unknown,False
85,0.4695130804837407,0.017258673603718966,1.1262891240577972,Unknown,False
86,0.4686797523332073,0.016683840714618824,1.1286758492149822,Unknown,False
87,0.4678662799932242,0.016128577336444506,1.1310154411168818,Unknown,False
88,0.4670719894195843,0.015592194125670353,1.1333089654302801,Unknown,False
89,0.46629623695911726,0.01507402752108135,1.1355574590192616,Unknown,False
90,0.4655384077794777,0.014573438660233869,1.137761930933815,Unknown,False
91,0.46479791438418966,0.014089812352247485,1.139923363350684,Unknown,False
92,0.46407419520824006,0.013622556103030706,1.1420427124698664,Unknown,False
93,0.4633667132897735,0.013171099189384163,1.1441209093698403,Unknown,False
94,0.46267495501368927,0.0127348917787376,1.1461588608243272,Unknown,False
95,0.4619984289231735,0.012313404091554406,1.1481574500831293,Unknown,False
96,0.4613366645954213,0.01190612560368583,1.150117537619369,Unknown,False
97,0.4606892115780102,0.011512564286186446,1.1520399618452344,Unknown,False
98,0.460055638382584,0.01113224588030344,1.1539255397981738,Unknown,False
99,0.45943553153269073,0.010764713205536562,1.1557750677992942,Unknown,False
100,0.4588284946627936,0.010409525498833401,1.157589322085591,Unknown,False
101,0.4582341476656402,0.010066257783131449,1.1593690594174897,Unknown,False
102,0.45765212588533066,0.00973450026359928,1.1611150176630667,Unknown,False
103,0.45708207935357253,0.009413857750047237,1.1628279163602073,Unknown,False
104,0.4565236720667506,0.009103949104094566,1.1645084572578608,Unknown,False
105,0.4559765813015707,0.0088044067097774,1.1661573248374653,Unknown,False
106,0.4554404969671607,0.00851487596637911,1.1677751868155357,Unknown,False
107,0.4549151209916294,0.008235014802342486,1.169362694628338,Unknown,False
108,0.4544001667411951,0.00796449320920877,1.1709204838995,Unknown,False
109,0.4538953584700993,0.007702992794587464,1.1724491748913666,Unknown,False
110,0.45340043079962117,0.007450206353237122,1.1739493729408284,Unknown,False
111,0.4529151282246002,0.007205837455385389,1.1754216688803343,Unknown,False
112,0.4524392046459639,0.006969600051478771,1.176866639444727,Unknown,False
113,0.4519724229278392,0.006741218092594605,1.1782848476645118,Unknown,False
114,0.45151455447790706,0.006520425165801208,1.179676843246141,Unknown,False
115,0.45106537884973075,0.006306964143786303,1.1810431629398388,Unknown,False
116,0.4506246833658615,0.006100586848119111,1.1823843308954851,Unknown,False
117,0.45019226276058943,0.005901053725541722,1.183700859007032,Unknown,False
118,0.44976791884127093,0.005708133536723358,1.1849932472459046,Unknown,False
119,0.4493514601672228,0.005521603056938953,1.1862619839838195,Unknown,False
120,0.44894270174522866,0.005341246788160626,1.1875075463054203,Unknown,False
